nohup: ignoring input
Number of parameter:  74.51M

  0%|                                                                                                      | 0/98 [00:00<?, ?it/s]
TRAIN (0) | Loss: 2.550 | Acc 0.582 mIoU 0.341:  72%|████████████████████████████████▌            | 71/98 [04:04<01:23,  3.10s/it]
TRAIN (0) | Loss: 2.547 | Acc 0.583 mIoU 0.341:  72%|████████████████████████████████▌            | 71/98 [04:07<01:23,  3.10s/it]
TRAIN (0) | Loss: 2.547 | Acc 0.583 mIoU 0.341:  73%|█████████████████████████████████            | 72/98 [04:07<01:20,  3.09s/it]
TRAIN (0) | Loss: 2.544 | Acc 0.584 mIoU 0.342:  73%|█████████████████████████████████            | 72/98 [04:10<01:20,  3.09s/it]
TRAIN (0) | Loss: 2.544 | Acc 0.584 mIoU 0.342:  74%|█████████████████████████████████▌           | 73/98 [04:10<01:15,  3.04s/it]
TRAIN (0) | Loss: 2.539 | Acc 0.585 mIoU 0.342:  74%|█████████████████████████████████▌           | 73/98 [04:13<01:15,  3.04s/it]
TRAIN (0) | Loss: 2.539 | Acc 0.585 mIoU 0.342:  76%|█████████████████████████████████▉           | 74/98 [04:13<01:12,  3.01s/it]
TRAIN (0) | Loss: 2.537 | Acc 0.585 mIoU 0.342:  76%|█████████████████████████████████▉           | 74/98 [04:16<01:12,  3.01s/it]
TRAIN (0) | Loss: 2.537 | Acc 0.585 mIoU 0.342:  77%|██████████████████████████████████▍          | 75/98 [04:16<01:11,  3.11s/it]
TRAIN (0) | Loss: 2.531 | Acc 0.586 mIoU 0.343:  77%|██████████████████████████████████▍          | 75/98 [04:19<01:11,  3.11s/it]
TRAIN (0) | Loss: 2.531 | Acc 0.586 mIoU 0.343:  78%|██████████████████████████████████▉          | 76/98 [04:19<01:08,  3.10s/it]
TRAIN (0) | Loss: 2.528 | Acc 0.588 mIoU 0.344:  78%|██████████████████████████████████▉          | 76/98 [04:22<01:08,  3.10s/it]
TRAIN (0) | Loss: 2.528 | Acc 0.588 mIoU 0.344:  79%|███████████████████████████████████▎         | 77/98 [04:22<01:06,  3.19s/it]
TRAIN (0) | Loss: 2.520 | Acc 0.590 mIoU 0.346:  79%|███████████████████████████████████▎         | 77/98 [04:27<01:06,  3.19s/it]
TRAIN (0) | Loss: 2.520 | Acc 0.590 mIoU 0.346:  80%|███████████████████████████████████▊         | 78/98 [04:27<01:12,  3.64s/it]
TRAIN (0) | Loss: 2.517 | Acc 0.589 mIoU 0.346:  80%|███████████████████████████████████▊         | 78/98 [04:30<01:12,  3.64s/it]
TRAIN (0) | Loss: 2.517 | Acc 0.589 mIoU 0.346:  81%|████████████████████████████████████▎        | 79/98 [04:30<01:06,  3.48s/it]
TRAIN (0) | Loss: 2.513 | Acc 0.590 mIoU 0.347:  81%|████████████████████████████████████▎        | 79/98 [04:33<01:06,  3.48s/it]
TRAIN (0) | Loss: 2.513 | Acc 0.590 mIoU 0.347:  82%|████████████████████████████████████▋        | 80/98 [04:33<01:00,  3.33s/it]
TRAIN (0) | Loss: 2.506 | Acc 0.592 mIoU 0.348:  82%|████████████████████████████████████▋        | 80/98 [04:36<01:00,  3.33s/it]
TRAIN (0) | Loss: 2.506 | Acc 0.592 mIoU 0.348:  83%|█████████████████████████████████████▏       | 81/98 [04:36<00:54,  3.22s/it]
TRAIN (0) | Loss: 2.502 | Acc 0.593 mIoU 0.349:  83%|█████████████████████████████████████▏       | 81/98 [04:40<00:54,  3.22s/it]
TRAIN (0) | Loss: 2.502 | Acc 0.593 mIoU 0.349:  84%|█████████████████████████████████████▋       | 82/98 [04:40<00:53,  3.33s/it]
TRAIN (0) | Loss: 2.498 | Acc 0.595 mIoU 0.350:  84%|█████████████████████████████████████▋       | 82/98 [04:43<00:53,  3.33s/it]
TRAIN (0) | Loss: 2.498 | Acc 0.595 mIoU 0.350:  85%|██████████████████████████████████████       | 83/98 [04:43<00:48,  3.26s/it]
TRAIN (0) | Loss: 2.491 | Acc 0.596 mIoU 0.351:  85%|██████████████████████████████████████       | 83/98 [04:47<00:48,  3.26s/it]
TRAIN (0) | Loss: 2.491 | Acc 0.596 mIoU 0.351:  86%|██████████████████████████████████████▌      | 84/98 [04:47<00:48,  3.46s/it]
TRAIN (0) | Loss: 2.484 | Acc 0.598 mIoU 0.352:  86%|██████████████████████████████████████▌      | 84/98 [04:51<00:48,  3.46s/it]
TRAIN (0) | Loss: 2.484 | Acc 0.598 mIoU 0.352:  87%|███████████████████████████████████████      | 85/98 [04:51<00:46,  3.55s/it]
TRAIN (0) | Loss: 2.478 | Acc 0.600 mIoU 0.353:  87%|███████████████████████████████████████      | 85/98 [04:54<00:46,  3.55s/it]
TRAIN (0) | Loss: 2.478 | Acc 0.600 mIoU 0.353:  88%|███████████████████████████████████████▍     | 86/98 [04:54<00:40,  3.39s/it]
TRAIN (0) | Loss: 2.482 | Acc 0.599 mIoU 0.352:  88%|███████████████████████████████████████▍     | 86/98 [04:58<00:40,  3.39s/it]
TRAIN (0) | Loss: 2.482 | Acc 0.599 mIoU 0.352:  89%|███████████████████████████████████████▉     | 87/98 [04:58<00:41,  3.78s/it]
TRAIN (0) | Loss: 2.477 | Acc 0.601 mIoU 0.354:  89%|███████████████████████████████████████▉     | 87/98 [05:02<00:41,  3.78s/it]
TRAIN (0) | Loss: 2.477 | Acc 0.601 mIoU 0.354:  90%|████████████████████████████████████████▍    | 88/98 [05:02<00:38,  3.88s/it]
TRAIN (0) | Loss: 2.477 | Acc 0.601 mIoU 0.354:  90%|████████████████████████████████████████▍    | 88/98 [05:07<00:38,  3.88s/it]
TRAIN (0) | Loss: 2.477 | Acc 0.601 mIoU 0.354:  91%|████████████████████████████████████████▊    | 89/98 [05:07<00:37,  4.13s/it]
TRAIN (0) | Loss: 2.477 | Acc 0.601 mIoU 0.354:  91%|████████████████████████████████████████▊    | 89/98 [05:10<00:37,  4.13s/it]
TRAIN (0) | Loss: 2.477 | Acc 0.601 mIoU 0.354:  92%|█████████████████████████████████████████▎   | 90/98 [05:10<00:30,  3.82s/it]
TRAIN (0) | Loss: 2.472 | Acc 0.602 mIoU 0.355:  92%|█████████████████████████████████████████▎   | 90/98 [05:13<00:30,  3.82s/it]
TRAIN (0) | Loss: 2.472 | Acc 0.602 mIoU 0.355:  93%|█████████████████████████████████████████▊   | 91/98 [05:13<00:25,  3.58s/it]
TRAIN (0) | Loss: 2.469 | Acc 0.603 mIoU 0.356:  93%|█████████████████████████████████████████▊   | 91/98 [05:16<00:25,  3.58s/it]
